Cube Name and Link,Result,Poll Winner,Twitter Link,Twitter,Pronouns,Cube Name,URL
2007 Nostalgia Cube,✅,TRUE,MachineSchoolin,MachineSchoolin,they/them,2007 Nostalgia Cube,https://cubecobra.com/cube/overview/2007
2cmc Cube,,FALSE,TheBearBoi,TheBearBoi,they/them,2cmc Cube,https://cubecobra.com/cube/overview/9ia
360 Card Micro Pauper Cube,,FALSE,Microman900,Microman900,he/him,360 Card Micro Pauper Cube,https://cubecobra.com/cube/overview/62b5653883be610fb3f9f5cc
A Study in Harmony,✅,TRUE,matt_grenier,matt_grenier,he/him,A Study in Harmony,https://cubecobra.com/cube/overview/HarmonicStudies
All-Foil Midrange Cube,✅,TRUE,killagreg17,killagreg17,he/him,All-Foil Midrange Cube,https://cubecobra.com/cube/overview/f5a3647a-66fa-4c0a-941a-35cc3d994f21
Brawl Boomer Box ,,FALSE,dominharvia,dominharvia,he/him,Brawl Boomer Box ,https://cubecobra.com/cube/overview/4wszi
Changeling Cube,✅,TRUE,MimTeyers,MimTeyers,he/him,Changeling Cube,https://cubecobra.com/cube/overview/change
Channel Cube,,FALSE,,,he/him,Channel Cube,https://cubecobra.com/cube/overview/channel
Choice cube,,FALSE,,,he/him,Choice cube,https://cubecobra.com/cube/overview/7lp6
College Campus Cube,,FALSE,victorlindsay,victorlindsay,he/him,College Campus Cube,https://cubecobra.com/cube/overview/viclindsay
Combat Cube,,FALSE,DiceKnifeEthics,DiceKnifeEthics,they/them,Combat Cube,https://cubecobra.com/cube/overview/atk
Counters of Monte Cristo,✅,TRUE,,,he/him,Counters of Monte Cristo,https://cubecobra.com/cube/blog/plusone
Fifteen Card Highlander,,FALSE,,,he/him,Fifteen Card Highlander,https://cubecobra.com/cube/overview/fus
Glory Days,,FALSE,Natelikesfrogs,Natelikesfrogs,they/them,Glory Days,https://cubecobra.com/cube/overview/2n2tj
Graveyard Flavored Cube,,FALSE,JoeyForwar19754,JoeyForwar19754,he/him,Graveyard Flavored Cube,https://cubecobra.com/cube/overview/dirtcup
Ian's Peasant Cube,,FALSE,,,he/him,Ian's Peasant Cube,https://cubecobra.com/cube/overview/rbo
Ian's Proliferate Cube,,FALSE,,MachineSchoolin,he/him,Ian's Proliferate Cube,https://cubecobra.com/cube/overview/63e44d4ef4f93b0f6cd5ea94
Infinity Cube,,FALSE,,,he/him,Infinity Cube,https://cubecobra.com/cube/overview/infinity
Innistrad Set Theme,,FALSE,madpiratetom,madpiratetom,he/him,Innistrad Set Theme,https://cubecobra.com/cube/overview/InnistradCubeCon
Ivan_Draw_Go's Peasant Plus,,FALSE,Ivan_Draw_Go,Ivan_Draw_Go,he/him,Ivan_Draw_Go's Peasant Plus,https://cubecobra.com/cube/overview/IvanDrawGoPeasantPlus
Kamigawa Remastered,,FALSE,,,he/him,Kamigawa Remastered,https://cubecobra.com/cube/overview/kamigawa-remastered
Kora's Arena cube,,FALSE,lagenerica_,lagenerica_,she/her,Kora's Arena cube,https://cubecobra.com/cube/overview/mwz
Limited as Garfield Intended,,FALSE,FiniteMTG,FiniteMTG,he/him,Limited as Garfield Intended,https://www.cubecobra.com/cube/overview/lagi
Limited Horizons,,FALSE,GwenDekker,GwenDekker,he/him,Limited Horizons,https://cubecobra.com/cube/overview/limitedhorizons
Living Legacy (Jeremy Bearimy),,FALSE,,,he/him,Living Legacy (Jeremy Bearimy),https://cubecobra.com/cube/overview/2uu
Loial's Micro Cube,✅,TRUE,candellum,candellum,he/him,Loial's Micro Cube,https://cubecobra.com/cube/overview/5e9ef2d65a2e60108646545d
