,index,Cube Name,Cubecon Type,cardID,addedTmsp,details_name,details_full_name,details_artist,details_rarity,details_color_identity,details_colors,details_set,details_released_at,details_cmc,details_parsed_cost,details_type,details_elo,details_popularity,details_cubeCount,details_loyalty,details_power,details_toughness
0,0,Regular Cube,Pre-Accepted,251015ed-9408-4941-894a-158551ed2613,1572901810806,Favored Hoplite,Favored Hoplite [ths-13],Winona Nelson,uncommon,['W'],['W'],ths,2013-09-27,1,['w'],Creature — Human Soldier,1242.0000000000236,1.6152491770649928,2321,,1,2
1,1,Regular Cube,Pre-Accepted,70e3a90c-1e5c-4646-b3d5-ff46d3fa7b35,1572901810808,Trusted Pegasus,Trusted Pegasus [m20-314],Chris Rahn,common,['W'],['W'],m20,2019-07-12,3,"['w', '2']",Creature — Pegasus,1175.4000000000708,1.5310418739952538,2200,,2,2
2,2,Regular Cube,Pre-Accepted,27394079-924a-4fdb-8be2-f853193eca80,1572901810808,Whitemane Lion,Whitemane Lion [a25-39],Zoltan Boros & Gabor Szikszai,common,['W'],['W'],a25,2018-03-16,2,"['w', '1']",Creature — Cat,1197.6000000000865,3.714168400687577,5337,,2,2
3,3,Regular Cube,Pre-Accepted,b958bcdd-d0ea-4ae0-9dd0-e6de5cf74128,1572901810809,Restoration Angel,Restoration Angel [mm3-20],Johannes Voss,rare,['W'],['W'],mm3,2017-03-17,4,"['w', '3']",Creature — Angel,1318.1999999997456,17.90483878824995,25728,,3,4
4,4,Regular Cube,Pre-Accepted,c47ba1fa-3ace-488b-97e6-d9f3b389c602,1572901810809,Emeria Angel,Emeria Angel [ima-20],Jim Murray,rare,['W'],['W'],ima,2017-11-17,4,"['w', 'w', '2']",Creature — Angel,1244.800000000195,4.291788744058514,6167,,3,3
5,5,Regular Cube,Pre-Accepted,05e2a5e6-3aaa-4096-bdd0-fcc1afe5a36c,1572901810809,Legion's Landing,Legion's Landing [xln-22],Svetlin Velinov,rare,['W'],['W'],xln,2017-09-29,1,['w'],Legendary Enchantment,1262.3000000000973,8.781917003611866,12619,,,
6,6,Regular Cube,Pre-Accepted,2c7142a8-38fa-4e9d-9085-a26fb217a433,1572901810810,Oblivion Ring,Oblivion Ring [ddg-34],Chuck Lukacs,common,['W'],['W'],ddg,2011-04-01,3,"['w', '2']",Enchantment,1286.300000001285,17.454573291670435,25081,,,
7,7,Regular Cube,Pre-Accepted,43c5bf25-937c-4e17-9ed4-b4c4579fa9dc,1572901810811,Militia Bugler,Militia Bugler [m19-29],David Gaillet,uncommon,['W'],['W'],m19,2018-07-13,3,"['w', '2']",Creature — Human Soldier,1329.2000000001267,4.256992337831349,6117,,2,3
8,8,Regular Cube,Pre-Accepted,db827ee7-6f2e-4e10-aac0-120fc2b69fbd,1572901810811,"Shalai, Voice of Plenty","Shalai, Voice of Plenty [dom-35]",Victor Adame Minguez,rare,"['G', 'W']",['W'],dom,2018-04-27,4,"['w', '3']",Legendary Creature — Angel,1343.7999999998324,3.962614741149534,5694,,3,4
9,9,Regular Cube,Pre-Accepted,31279d7c-5246-40b2-a8c7-0be4a5f24a29,1572901810811,Pacifism,Pacifism [m20-32],Jesper Ejsing,common,['W'],['W'],m20,2019-07-12,2,"['w', '1']",Enchantment — Aura,1329.1000000003792,10.557925577446362,15171,,,
10,10,Regular Cube,Pre-Accepted,96d22985-4354-4015-bd74-0ddf4f0cdf17,1572901810812,Phalanx Leader,Phalanx Leader [uma-27],David Palumbo,uncommon,['W'],['W'],uma,2018-12-07,2,"['w', 'w']",Creature — Human Soldier,1254.3000000000543,1.761394083219085,2531,,1,1
11,11,Regular Cube,Pre-Accepted,7dcb1f9d-105d-48c6-bd66-d7e8839de9e1,1572901810813,Grateful Apparition,Grateful Apparition [war-17],Izzy,uncommon,['W'],['W'],war,2019-05-03,2,"['w', '1']",Creature — Spirit,1187.499999999964,2.7934554919167947,4014,,1,1
12,12,Regular Cube,Pre-Accepted,2da5f3f8-5eef-498f-ba2c-2f3fbc3745aa,1572901810813,Ephemerate,Ephemerate [mh1-7],Bastien L. Deharme,common,['W'],['W'],mh1,2019-06-14,1,['w'],Instant,1340.500000000275,16.835893188951445,24192,,,
13,13,Regular Cube,Pre-Accepted,46cc8574-7b8c-492c-8a36-75cb0192f853,1572901810813,Unbreakable Formation,Unbreakable Formation [rna-29],Matt Stewart,rare,['W'],['W'],rna,2019-01-25,3,"['w', '2']",Instant,1154.49999999973,4.945961181129213,7107,,,
